;Brand;Battery;Weight;Warranty;Ports;Processor;OS;Hard memory;Hard disc;Video brand;Size;4G LTE;Sensor;Color;Price;;
Laptop Lenovo ThinkPad E490;1;3980;1.75;1;1, 2, 4, 5, 6, 7;1;1;16;0;0;14;0;0;1, 2;79900;;
Laptop Lenovo ThinkPad L580;1;3930;2;1;2, 4, 5, 6, 7;2;1;16;0;0;15.6;0;0;3;89900;;
Laptop Lenovo ThinkPad T490s;1;4830;1.35;3;3, 8, 4, 5, 6, 7;2;1;16;0;0;14;1;0;1, 4;106900;;
Laptop Lenovo IdeaPad L340-17;1;3900;2.8;1;2, 4, 5, 6, 7;3;1;16;1, 0;2;17.3;0;0;3;46900;;
Laptop Lenovo IdeaPad L340-15 Gaming;1;3900;2.19;1;2, 4, 5, 6, 7;1;1;16;0;1;15.6;0;0;3;78000;;
Laptop Lenovo IdeaPad L340-17 Gaming;1;3900;2.78;1;2, 4, 5, 6, 7;1;1;16;0;1;15.6;0;0;3;77900;;
Laptop Lenovo IdeaPad S540-14;1;3145;1.63;1;2, 4, 6, 7;2;1;16;1, 0;1;17.3;0;0;3;82900;;
Ultrabook ASUS Zenbook S13 UX392FA;2;6500;1.1;1;3, 4, 6, 7;1;1;12;0;1;14;0;0;1;63900;;
Ultrabook Lenovo ThinkPad X1 Carbon 7;1;3321;1.09;3;3, 8, 5, 6, 7;4;1;12;0;2;14;0;0;1;54700;;
Laptop Dell G5 5590;3;3750;2.68;1;3, 8, 9, 6, 7, 10;3;1;12;0;2;14;0;0;1;65900;;
Laptop Dell G3 3590;3;4255;2.34;1;1, 2, 4, 6, 7;1;1;16;0;0;13.9;0;0;1;93500;;
Laptop ASUS Zenbook Pro Duo UX581GV;4;4480;2.5;1;3, 8, 6, 7;1;1;16;0;0;14;1;1;3;134900;;
Laptop ASUS Zenbook Duo UX481FL;4;4480;1.5;1;3, 4, 6, 7;1;1;16;0;0;14;1;0;4;134900;;
Laptop Dell G3 3590;5;4255;2.34;1;1, 2, 4, 6, 7;1;1;16;0;0;14;1;0;4;159900;;
Laptop Dell G5 5590;5;3750;2.68;1;3, 4, 9, 6, 7, 10;1;1;16;0;0;14;1;0;4;166000;;
Laptop Dell G3 3590;5;4255;2.34;1;1, 2, 4, 6, 7;1;1;16;1, 0;1;15.6;0;0;3;107900;;
Laptop Dell G5 5590;5;3750;2.68;1;3, 8, 9, 6, 7, 10;1;1;16;1, 0;1;15.6;0;0;3;107900;;
Ultrabook ASUS VivoBook S532FL;2;3500;1.8;1;1, 2, 4, 6, 7;1;1;16;1, 0;1;15.6;0;0;3;93000;;
Laptop Lenovo ThinkBook 13s;1;2964;1.32;1;3, 4, 6, 7;1;1;16;1, 0;1;15.6;0;0;3;93000;;
Laptop Acer Aspire 3 A315-42;6;4810;1.9;1;1, 3, 5, 6, 7;1;1;16;0;1;15.6;0;1;1;196900;;
Ultrabook ASUS Zenbook UX434FLC;2;3700;1.26;2;1, 3, 4, 6, 7;2;1;16;0;1;14;0;0;1;102700;;
Ultrabook ASUS Zenbook UX534FTC;2;4614;1.65;1;3, 4, 6, 7;1;1;16;1, 0;1;15.6;0;0;3;82900;;
Laptop Lenovo ThinkBook 13s;1;2964;1.32;1;3, 4, 6, 7;1;1;16;0;1;15.6;0;0;3;88900;;
Ultrabook ASUS Zenbook UX431FA;2;3700;1.39;1;1, 3, 4, 6, 7;1;1;16;0;1;15.6;0;0;3;87900;;
Ultrabook ASUS Zenbook UX434FL;2;3700;1.26;1;1, 3, 4, 6, 7;1;1;16;1, 0;1;15.6;0;0;3;98900;;
Ultrabook ASUS Zenbook UX434FAC;2;3700;1.26;1;1, 3, 4, 6, 7;1;1;16;1, 0;1;15.6;0;0;3;98900;;
Ultrabook ASUS Zenbook UX331FN;2;3160;1.2;2;2, 4, 6, 7;1;1;16;1, 0;1;15.6;0;0;3;102000;;
Ultrabook ASUS Zenbook UX534FTC;2;4614;1.65;1;3, 4, 6, 7;1;1;16;0;1;15.6;0;0;3;104900;;
Laptop Lenovo Legion Y540-15;1;4630;2.3;2;2, 4, 5, 6, 7, 10;1;1;16;1, 0;1;15.6;0;0;3;83900;;
Ultrabook ASUS Zenbook Flip UX463FL;2;3830;1.4;1;1, 3, 4, 6, 7;1;1;16;1, 0;1;15.6;0;0;3;97900;;
Ultrabook ASUS Zenbook UX433FLC;2;3700;1.09;1;1, 3, 4, 6, 7;1;1;16;0;1;15.6;0;0;3;94900;;
Ultrabook ASUS Zenbook UX533FTC;2;4800;1.65;1;2, 3, 4, 6, 7;1;1;16;0;1;15.6;0;0;3;94900;;
Laptop ASUS Zenbook Duo UX481FL;2;4480;1.5;1;3, 4, 6, 7;1;1;16;1, 0;1;15.6;0;0;3;113900;;
Ultrabook ASUS Zenbook Flip UX563FD;2;4550;1.9;1;2, 4, 6, 8;1;1;12;0;1;15.6;0;0;1;73900;;
